partyCode,partyName,name,familyName,givenName,sitting,electorateCode,electorateState,electorateName,electorateChamber
GRN,Greens,Carmel McCallum,McCallum,Carmel,0,gilm,NSW,Gilmore,house
MAP,Mature Australia Party,Graham McCarthy,McCarthy,Graham,0,svic,VIC,Victoria,senate
ALP,Australian Labor Party,Malarndirri McCarthy,McCarthy,Malarndirri,0,snt,NT,Northern Territory,senate
RUA,Rise Up Australia,Regina McCarthy,McCarthy,Regina,0,ling,NT,Lingiari,house
FFP,Family First Party,Caroline McCormack,McCormack,Caroline,0,oxle,QLD,Oxley,house
NAT,The Nationals,Michael McCormack,McCormack,Michael,1,rive,NSW,Riverina,house
ONP,Pauline Hanson's One Nation,Kate McCulloch,McCulloch,Kate,0,stas,TAS,Tasmania,senate
CEC,Citizens Electoral Council,Brigis McCullough,McCullough,Brigis,0,solo,NT,Solomon,house
ALP,Australian Labor Party,Anne McEwan,McEwan,Anne,1,ssa,SA,South Australia,senate
LIB,Liberal Party,Vicky McGahey,McGahey,Vicky,0,snsw,NSW,New South Wales,senate
FFP,Family First,Rod McGarvie,McGarvie,Rod,0,sqld,QLD,Queensland,senate
LIB,Liberal Party,Duncan McGauchie,McGauchie,Duncan,0,murr,VIC,Murray,house
IND,Independent,Cathy McGowan,McGowan,Cathy,1,indi,VIC,Indi,house
LNP,Liberal National Party,James McGrath,McGrath,James,1,sqld,QLD,Queensland,senate
PIR,Pirate Party Australia,Darren McIntosh,McIntosh,Darren,0,snsw,NSW,New South Wales,senate
21CP,21st Century Party,Jamie McIntyre,McIntyre,Jamie,0,neng,NSW,New England,house
LIB,National Party of Australia,Bridget McKenzie,McKenzie,Bridget,1,svic,VIC,Victoria,senate
GRN,Australian Greens,Nick McKim,McKim,Nick,1,stas,TAS,Tasmania,senate
GRN,The Greens,Hugh McKinnon,McKinnon,Hugh,0,jaga,VIC,Jagajaga,house
GRN,Greens,Helen McLeod,McLeod,Helen,0,kooy,VIC,Kooyong,house
LIB,Liberal,Karen McNamara,McNamara,Karen,1,dobe,NSW,Dobell,house
AJP,Animal Justice Party,Fiona McRostie,McRostie,Fiona,0,mari,VIC,Maribyrnong,house
LNP,Liberal National Party,John McVeigh,McVeigh,John,0,groo,QLD,Groom,house
LDP,Liberal Democrats,Clinton Mead,Mead,Clinton,0,stas,TAS,Tasmania,senate
AJP,Animal Justice Party,Andy Meddick,Meddick,Andy,0,cora,VIC,Corangamite,house
ALP,Labor Party,Hovig Melkonian,Melkonian,Hovig,0,case,VIC,Casey,house
SCP,Science Party,Meow-Ludo Meow Meow,Meow Meow,Meow-Ludo,0,gray,NSW,Grayndler,house
GRN,Greens,Lee-Anne Miles,Miles,Lee-Anne,0,pear,WA,Pearce,house
FLX,Flux.org,Stuart Milne,Milne,Stuart,0,svic,VIC,Victoria,senate
LIB,Liberal Party,Sophie Mirabella,Mirabella,Sophie,0,indi,VIC,Indi,house
ALP,Labor Party,Brian Mitchell,Mitchell,Brian,0,lyon,TAS,Lyons,house
ALP,Australian Labor Party,Rob Mitchell,Mitchell,Rob,1,mcew,VIC,McEwen,house
GRN,Australian Greens,Judy Moate,Moate,Judy,0,ssa,SA,South Australia,senate
CDP,Christian Democratic Party,Don Modarelli,Modarelli,Don,0,fowl,NSW,Fowler,house
LIB,Liberal Party of Australia,Jim Molan,Molan,Jim,0,snsw,NSW,New South Wales,senate
LNP,LNP,Nic Monsour,Monsour,Nic,0,more,QLD,Moreton,house
AJP,Animal Justice Party,Jessica Montagne,Montagne,Jessica,0,sact,ACT,A.C.T.,senate
APP,Anti-paedophile Party,Tamarra Moody,Moody,Tamarra,0,swa,WA,Western Australia,senate
RUA,Rise Up Australia Party,Neroli Mooney,Mooney,Neroli,0,sqld,QLD,Queensland,senate
ALP,Australian Labor Party,Claire Moore,Moore,Claire,1,sqld,QLD,Queensland,senate
IND,Independent,Tony Moore,Moore,Tony,0,sqld,QLD,Queensland,senate
APP,Anti-paedophile Party,Rebecca Morgan,Morgan,Rebecca,0,ssa,SA,South Australia,senate
GRN,Greens,Terry Morgan,Morgan,Terry,0,macq,NSW,Macquarie,house
ALP,Australian Labor Party,Tara Moriarty,Moriarty,Tara,0,snsw,NSW,New South Wales,senate
GRN,Greens,Ben Moroney,Moroney,Ben,0,maca,NSW,Macarthur,house
GRN,Greens,Hillary Morris,Morris,Hillary,0,robe,NSW,Robertson,house
GRN,Greens,Peter Morris,Morris,Peter,0,hunt,NSW,Hunter,house
LIB,Liberal,Scott Morrison,Morrison,Scott,1,cook,NSW,Cook,house
LIB,Liberal Party,Ben Morton,Morton,Ben,0,tang,WA,Tangney,house
REP,Renewable Energy Party,James Moylan,Moylan,James,0,sqld,QLD,Queensland,senate
NAT,The Nationals,Kado Muir,Muir,Kado,0,swa,WA,Western Australia,senate
AMEP,Australian Motoring Enthusiast Party,Ricky Muir,Muir,Ricky,1,svic,VIC,Victoria,senate
ASXP,Australian Sex Party,Amy Mulcahy,Mulcahy,Amy,0,svic,VIC,Victoria,senate
IND,Independent,Martin Mulcare,Mulcare,Martin,0,benn,NSW,Bennelong,house
LIB,Liberal Party,David Mulholland,Mulholland,David,0,jaga,VIC,Jagajaga,house
RUA,Rise Up Australia Party,Sheila Mundy,Mundy,Sheila,0,swa,WA,Western Australia,senate
LIB,Liberal Party,Gayle Murphy,Murphy,Gayle,0,lalo,VIC,Lalor,house
ALP,Labor Party,Peta Murphy,Murphy,Peta,0,dunk,VIC,Dunkley,house
ASXP,Australian Sex Party,Joel Murray,Murray,Joel,0,batm,VIC,Batman,house
RUA,Rise Up Australia Party,Daniel Nalliah,Nalliah,Daniel,0,svic,VIC,Victoria,senate
NAT,National Party of Australia,Fiona Nash,Nash,Fiona,1,snsw,NSW,New South Wales,senate
GRN,Greens,Scott Jordan,Jordan,Scott,0,brad,TAS,Braddon,house
ALP,Labor Party,Leisa Neaton,Neaton,Leisa,0,capr,QLD,Capricornia,house
ALP,Australian Labor Party,Shayne Neumann,Neumann,Shayne,1,blai,QLD,Blair,house
SPP,Sustainable Australia,Georgia Nicholls,Nicholls,Georgia,0,svic,VIC,Victoria,senate
RUA,Rise Up Australia Party,Maree Nichols,Nichols,Maree,0,snsw,NSW,New South Wales,senate
FFP,Family First Party,Amanda Nickson,Nickson,Amanda,0,daws,QLD,Dawson,house
GRN,Greens,Sarah Nielsen-Harvey,Nielsen-Harvey,Sarah,0,swan,WA,Swan,house
LIB,Liberal,Andrew Nikolic,Nikolic,Andrew,1,bass,TAS,Bass,house
AJP,Animal Justice Party,Tania Noble,Noble,Tania,0,ssa,SA,South Australia,senate
GRN,Australian Greens,Jane Oakley,Oakley,Jane,0,snsw,NSW,New South Wales,senate
LNP,Liberal National Party,Llew O'Brien,O'Brien,Llew,0,wbay,QLD,Wide Bay,house
ALP,Australian Labor Party,Mat O'Brien,O'Brien,Mat,0,bark,SA,Barker,house
LNP,LNP,Ted O'Brien,O'Brien,Ted,0,fair,QLD,Fairfax,house
IND,Independent,Dean O'Callaghan,O'Callaghan,Dean,0,will,VIC,Wills,house
ALP,Australian Labor Party,Brendan O'Connor,O'Connor,Brendan,1,gort,VIC,Gorton,house
GRN,The Greens,Jenny O'Connor,O'Connor,Jenny,0,indi,VIC,Indi,house
LNP,Liberal National Party of Queensland,Ken O'Dowd,O'Dowd,Ken,1,flyn,QLD,Flynn,house
LIB,Liberal,Kelly O'Dwyer,O'Dwyer,Kelly,1,higg,VIC,Higgins,house
GRN,Greens,Claire Ogden,Ogden,Claire,0,lill,QLD,Lilley,house
TAP,Arts Party,Scott O'Hara,O'Hara,Scott,0,stas,TAS,Tasmania,senate
LIB,Liberal Party,Sang Ok,Ok,Sang,0,snsw,NSW,New South Wales,senate
LIB,Liberal Party of Australia,Karina Okotel,Okotel,Karina,0,svic,VIC,Victoria,senate
AUC,Australian Christians,Anne Okumu,Okumu,Anne,0,svic,VIC,Victoria,senate
HMP,Help End Marijuana Prohibition,Jason Olbourne,Olbourne,Jason,0,snsw,NSW,New South Wales,senate
REP,Renewable Energy Party,Maurice Oldis,Oldis,Maurice,0,batm,VIC,Batman,house
ALP,Australian Labor Party,Clare O'Neil,O'Neil,Clare,1,hoth,VIC,Hotham,house
AUC,Australian Christian Party,Anthony O'Neill,O'Neill,Anthony,0,mari,VIC,Maribyrnong,house
GRN,Greens,Astrid O'Neill,O'Neill,Astrid,0,mcma,NSW,McMahon,house
ALP,Australian Labor Party,Deborah O'Neill,O'Neill,Deborah,1,snsw,NSW,New South Wales,senate
ALP,Labor Party,Pat O'Neill,O'Neill,Pat,0,bris,QLD,Brisbane,house
GRN,Greens,Ian Onley,Onley,Ian,0,gipp,VIC,Gippsland,house
GRN,Australian Greens,Michael Osborne,Osborne,Michael,0,snsw,NSW,New South Wales,senate
LNP,LNP,Freya Ostapovitch,Ostapovitch,Freya,0,rank,QLD,Rankin,house
LNP,Liberal National Party,Barry O'Sullivan,O'Sullivan,Barry,1,sqld,QLD,Queensland,senate
LIB,Liberal Party,Matt O'Sullivan,O'Sullivan,Matt,0,burt,WA,Burt,house
GRN,Greens,Patrick O'Sullivan,O'Sullivan,Patrick,0,hind,SA,Hindmarsh,house
ALP,Labor Party,Cathy O'Toole,O'Toole,Cathy,0,herb,QLD,Herbert,house
AJP,Animal Justice Party,Jamie Overend,Overend,Jamie,0,cori,VIC,Corio,house
HMP,Help End Marijuana Prohibition,Matt Owen,Owen,Matt,0,stas,TAS,Tasmania,senate
ALP,Labor,Julie Owens,Owens,Julie,1,parr,NSW,Parramatta,house
HMP,Help End Marijuana Prohibition,Ryan Parker,Parker,Ryan,0,ssa,SA,South Australia,senate
GRN,Greens,Matt Parmeter,Parmeter,Matt,0,park,NSW,Parkes,house
AJP,Animal Justice Party,Ruth Parramore,Parramore,Ruth,0,bend,VIC,Bendigo,house
LIB,Liberal Party of Australia,Stephen Parry,Parry,Stephen,1,stas,TAS,Tasmania,senate
LIB,Liberal,Tony Pasin,Pasin,Tony,1,bark,SA,Barker,house
ONP,Pauline Hanson's One Nation,Robert Pasquali,Pasquali,Robert,0,fair,QLD,Fairfax,house
LIB,Liberal Party of Australia,James Paterson,Paterson,James,1,svic,VIC,Victoria,senate
GRN,The Greens,Patchouli Paterson,Paterson,Patchouli,0,cora,VIC,Corangamite,house
ASXP,Australian Sex Party,Kirsty Patten,Patten,Kirsty,0,sqld,QLD,Queensland,senate
LNP,Liberal National Party,Jonathan Pavetto,Pavetto,Jonathan,0,kenn,QLD,Kennedy,house
LIB,Liberal Party of Australia,Marise Payne,Payne,Marise,1,snsw,NSW,New South Wales,senate
ALP,Australian Labor Party,Robert Pearson,Pearson,Robert,0,stir,WA,Stirling,house
JLN,Jacqui Lambie Network,Crystal Peckett,Peckett,Crystal,0,sqld,QLD,Queensland,senate
ALP,Labor Party,Jacqui Pedersen,Pedersen,Jacqui,0,petr,QLD,Petrie,house
GRN,Australian Greens,Ben Pennings,Pennings,Ben,0,sqld,QLD,Queensland,senate
ALP,Australian Labor Party,Graham Perrett,Perrett,Graham,1,more,QLD,Moreton,house
ALP,Australian Labor Party,Stefanie Perri,Perri,Stefanie,0,chis,VIC,Chisholm,house
REP,Renewable Energy Party,Susan Perrow,Perrow,Susan,0,snsw,NSW,New South Wales,senate
ALP,Australian Labor Party,Louise Persse,Persse,Louise,0,svic,VIC,Victoria,senate
IND,Independent,Patricia Petersen,Petersen,Patricia,0,blai,QLD,Blair,house
CEC,Citizens Electoral Council,Gabrielle Peut,Peut,Gabrielle,0,svic,VIC,Victoria,senate
ALP,Australian Labor Party,Fiona Phillips,Phillips,Fiona,0,gilm,NSW,Gilmore,house
FFP,Family First Party,Marilyn Phillips,Phillips,Marilyn,0,wake,SA,Wakefield,house
ALA,Australian Liberty Alliance,Ron Pike,Pike,Ron,0,farr,NSW,Farrer,house
RUA,Rise Up Australia Party,Jan Pile,Pile,Jan,0,snt,NT,Northern Territory,senate
CDP,Christian Democratic Party,Susan Pinsuti,Pinsuti,Susan,0,whit,NSW,Whitlam,house
CDP,Christian Democratic Party,Keith Piper,Piper,Keith,0,parr,NSW,Parramatta,house
LNP,Liberal National Party of Queensland,Keith Pitt,Pitt,Keith,1,hink,QLD,Hinkler,house
ALP,Labor,Tanya Plibersek,Plibersek,Tanya,1,sydn,NSW,Sydney,house
AJP,Animal Justice Party,Angela Pollard,Pollard,Angela,0,rich,NSW,Richmond,house
ALP,Australian Labor Party,Helen Polley,Polley,Helen,1,stas,TAS,Tasmania,senate
AJP,Animal Justice Party,Bruce Poon,Poon,Bruce,0,svic,VIC,Victoria,senate
LIB,Liberal,Christian Porter,Porter,Christian,1,pear,WA,Pearce,house
FFP,Family First Party,Mark Potter,Potter,Mark,0,hind,SA,Hindmarsh,house
FLX,Flux,Adam Poulton,Poulton,Adam,0,stas,TAS,Tasmania,senate
ALP,Australian Labor Party,Louise Pratt,Pratt,Louise,0,swa,WA,Western Australia,senate
LNP,Liberal National Party of Queensland,Jane Prentice,Prentice,Jane,1,ryan,QLD,Ryan,house
LIB,Liberal,Melissa Price,Price,Melissa,1,dura,WA,Durack,house
SAL,Socialist Alliance,Susan Price,Price,Susan,0,snsw,NSW,New South Wales,senate
GRN,Greens,Kurt Pudniks,Pudniks,Kurt,0,leic,QLD,Leichhardt,house
CEC,Citizens Electoral Council,Jan Pukallas,Pukallas,Jan,0,sqld,QLD,Queensland,senate
ALP,Australian Labor Party,Andrew Punch,Punch,Andrew,0,mitc,NSW,Mitchell,house
FFP,Family First Party,Michael Punshon,Punshon,Michael,0,herb,QLD,Herbert,house
LIB,Liberal Party,Megan Purcell,Purcell,Megan,0,bend,VIC,Bendigo,house
GRN,Greens,Steven Purcell,Purcell,Steven,0,oxle,QLD,Oxley,house
PIR,Pirate Party Australia,Isaac Pursehouse,Pursehouse,Isaac,0,sqld,QLD,Queensland,senate
LIB,Liberal,Christopher Pyne,Pyne,Christopher,1,stur,SA,Sturt,house
PROG,Australian Progressive Party,Allan Quartly,Quartly,Allan,0,snsw,NSW,New South Wales,senate
LIB,Liberal Party,Jeremy Quinn,Quinn,Jeremy,0,pert,WA,Perth,house
DLP,Democratic Labour Party,John Quinn,Quinn,John,0,ryan,QLD,Ryan,house
MAP,Mature Australia Party,Paul Quinn,Quinn,Paul,0,snsw,NSW,New South Wales,senate
CDP,Christian Democratic Party,John Ramsay,Ramsay,John,0,werr,NSW,Werriwa,house
LIB,Liberal,Rowan Ramsey,Ramsey,Rowan,1,grey,SA,Grey,house
GRN,The Greens,Samantha Ratnam,Ratnam,Samantha,0,will,VIC,Wills,house
GRN,The Greens,Steve Raymond,Raymond,Steve,0,asto,VIC,Aston,house
NAT,The Nationals,Elizabeth Re,Re,Elizabeth,0,swa,WA,Western Australia,senate
GRN,Greens,Jill Reading,Reading,Jill,0,forr,WA,Forrest,house
ALP,Australian Labor Party,Mark Reed,Reed,Mark,0,swa,WA,Western Australia,senate
FFP,Family First Party,Lyn Rees,Rees,Lyn,0,fadd,QLD,Fadden,house
JLN,Jacqui Lambie Network,Bruce Relph,Relph,Bruce,0,snsw,NSW,New South Wales,senate
LNP,Liberal National Party,Gerard Rennick,Rennick,Gerard,0,sqld,QLD,Queensland,senate
GRN,Australian Greens,Anna Reynolds,Reynolds,Anna,0,stas,TAS,Tasmania,senate
LIB,Liberal Party,Graham Reynolds,Reynolds,Graham,0,maki,SA,Makin,house
LIB,Liberal Party of Australia,Linda Reynolds,Reynolds,Linda,1,swa,WA,Western Australia,senate
GRN,Australian Greens,Lee Rhiannon,Rhiannon,Lee,1,snsw,NSW,New South Wales,senate
GRN,Australian Greens,Janet Rice,Rice,Janet,1,svic,VIC,Victoria,senate
ALP,Labor Party,Kim Richards,Richards,Kim,0,bowm,QLD,Bowman,house
LIB,Liberal Party,Sarah Richards,Richards,Sarah,0,snsw,NSW,New South Wales,senate
MAP,Mature Australia Party,Roy Ridge,Ridge,Roy,0,svic,VIC,Victoria,senate
GRN,The Greens,Terrill Riley-Gibson,Riley-Gibson,Terrill,0,bass,TAS,Bass,house
ALP,Australian Labor Party,Amanda Rishworth,Rishworth,Amanda,1,king,SA,Kingston,house
FFP,Family First Party,Adrian Rivish,Rivish,Adrian,0,adel,SA,Adelaide,house
LNP,Liberal National Party,Bibe Roadley,Roadley,Bibe,0,oxle,QLD,Oxley,house
LNP,Liberal National Party of Queensland,Stuart Robert,Robert,Stuart,1,fadd,QLD,Fadden,house
FFP,Family First Party,Andrew Roberts,Roberts,Andrew,0,stas,TAS,Tasmania,senate
ONP,Pauline Hanson's One Nation,Malcolm Roberts,Roberts,Malcolm,0,sqld,QLD,Queensland,senate
GRN,Greens,Tim Roberts,Roberts,Tim,0,hink,QLD,Hinkler,house
AJP,Animal Justice Party,Ellie Robertson,Robertson,Ellie,0,hugh,NSW,Hughes,house
ALA,Australian Liberty Alliance,Debbie Robinson,Robinson,Debbie,0,swa,WA,Western Australia,senate
CEC,Citizens Electoral Council,Jean Robinson,Robinson,Jean,0,swa,WA,Western Australia,senate
ALA,Australian Liberty Alliance,Steve Roddick,Roddick,Steve,0,lind,NSW,Lindsay,house
SPP,Sustainable Australia,John Roles,Roles,John,0,sqld,QLD,Queensland,senate
PROG,Australian Progressive Party,Ash Rose,Rose,Ash,0,snsw,NSW,New South Wales,senate
FFP,Family First Party,Julie Rose,Rose,Julie,0,monc,QLD,Moncrieff,house
FFP,Family First,Linda Rose,Rose,Linda,0,swa,WA,Western Australia,senate
CDP,Christian Democratic Party,Paul Rossetto,Rossetto,Paul,0,farr,NSW,Farrer,house
RUA,Rise Up Australia,Alison Rowe,Rowe,Alison,0,stir,WA,Stirling,house
NXT,Nick Xenophon Team,Marie Rowland,Rowland,Marie,0,warr,NSW,Warringah,house
ALP,Labor,Michelle Rowland,Rowland,Michelle,1,gree,NSW,Greenway,house
LNP,Liberal National Party of Queensland,Wyatt Roy,Roy,Wyatt,1,long,QLD,Longman,house
ONP,Pauline Hanson's One Nation,Simon Roylance,Roylance,Simon,0,svic,VIC,Victoria,senate
GRN,Greens,Hannah Rubenach-Quinn,Rubenach-Quinn,Hannah,0,lyon,TAS,Lyons,house
IND,Independent,Stephen Ruff,Ruff,Stephen,0,nsyd,NSW,North Sydney,house
ALP,Labor Party,Adam Rundell,Rundell,Adam,0,menz,VIC,Menzies,house
AJP,Animal Justice Party,Geoff Russell,Russell,Geoff,0,stur,SA,Sturt,house
LIB,Liberal Party of Australia,Anne Ruston,Ruston,Anne,1,ssa,SA,South Australia,senate
LNP,Liberal National Party,Dan Ryan,Ryan,Dan,0,sqld,QLD,Queensland,senate
CDP,Christian Democratic Party,Glen Ryan,Ryan,Glen,0,park,NSW,Parkes,house
ALP,Australian Labor Party,Joanne Ryan,Ryan,Joanne,1,lalo,VIC,Lalor,house
CDP,Christian Democratic Party,Michelle Ryan,Ryan,Michelle,0,cunn,NSW,Cunningham,house
LIB,Liberal Party of Australia,Scott Ryan,Ryan,Scott,1,svic,VIC,Victoria,senate
CDP,Christian Democratic Party,Steve Ryan,Ryan,Steve,0,gilm,NSW,Gilmore,house
GRN,The Greens,Tamara Ryan,Ryan,Tamara,0,emon,NSW,Eden-Monaro,house
LDP,Liberal Democratic Party,Roostam Sadri,Sadri,Roostam,0,ssa,SA,South Australia,senate
GRN,The Greens,Carly Saeedi,Saeedi,Carly,0,fenn,ACT,Fenner,house
ALP,Labor Party,Janelle Saffin,Saffin,Janelle,0,page,NSW,Page,house
AFN,Australia First,Jim Saleam,Saleam,Jim,0,lind,NSW,Lindsay,house
GRN,Greens,Muhammad Salman,Salman,Muhammad,0,burt,WA,Burt,house
RUA,Rise Up Australia,Mitchell Sambell,Sambell,Mitchell,0,dura,WA,Durack,house
TAP,Arts Party,Charles Sanders,Sanders,Charles,0,ssa,SA,South Australia,senate
TAP,The Arts Party,Tim Sanderson,Sanderson,Tim,0,fran,TAS,Franklin,house
FFP,Family First Party,John Sands,Sands,John,0,groo,QLD,Groom,house
FFP,Family First Party,Brett Saunders,Saunders,Brett,0,bowm,QLD,Bowman,house
VEP,Voluntary Euthanasia Party,David Scanlon,Scanlon,David,0,svic,VIC,Victoria,senate
ALP,Australian Labor Party,Meaghan Scanlon,Scanlon,Meaghan,0,fadd,QLD,Fadden,house
AJP,Animal Justice Party,Louella Scanu,Scanu,Louella,0,holt,VIC,Holt,house
FFP,Family First Party,Myfanwy Schenk,Schenk,Myfanwy,0,mara,QLD,Maranoa,house
AJP,Animal Justice Party,Nathan Schram,Schram,Nathan,0,jaga,VIC,Jagajaga,house
REP,Renewable Energy Party,Pedro Schwindt,Schwindt,Pedro,0,swa,WA,Western Australia,senate
CDP,Christian Democratic Party,June Scifo,Scifo,June,0,warr,NSW,Warringah,house
GRN,Greens,Brad Scott,Scott,Brad,0,bowm,QLD,Bowman,house
LIB,Liberal,Fiona Scott,Scott,Fiona,1,lind,NSW,Lindsay,house
RUA,Rise Up Australia,Phillip Scott,Scott,Phillip,0,bran,WA,Brand,house
CLP,Country Liberal Party of Australia Party,Nigel Scullion,Scullion,Nigel,1,snt,NT,Northern Territory,senate
AJP,Animal Justice Party,Megan Searls,Searls,Megan,0,calw,VIC,Calwell,house
PIR,Pirate Party Australia,Brandon Selic,Selic,Brandon,0,sqld,QLD,Queensland,senate
ALP,Labor Party,Lydia Senior,Senior,Lydia,0,mall,VIC,Mallee,house
LIB,Liberal Party of Australia,Zed Seselja,Seselja,Zed,1,sact,ACT,A.C.T.,senate
AJP,Animal Justice Party,Frankie Seymour,Seymour,Frankie,0,emon,NSW,Eden-Monaro,house
NXT,Nick Xenophon Team,Rebekha Sharkie,Sharkie,Rebekha,0,mayo,SA,Mayo,house
ASXP,Australian Sex Party,Pat Sheil,Sheil,Pat,0,gray,NSW,Grayndler,house
ALP,Australian Labor Party,Hayden Sheppard,Sheppard,Hayden,0,monc,QLD,Moncrieff,house
DLF,Drug Law Reform Australia,John Sherman,Sherman,John,0,svic,VIC,Victoria,senate
GRN,Greens,Michaela Sherwood,Sherwood,Michaela,0,hume,NSW,Hume,house
ALP,Australian Labor Party,John Short,Short,John,0,stas,TAS,Tasmania,senate
ALP,Australian Labor Party,Bill Shorten,Shorten,Bill,1,mari,VIC,Maribyrnong,house
CEC,Citizens Electoral Council,Paul Siebert,Siebert,Paul,0,ssa,SA,South Australia,senate
GRN,Australian Greens,Rachel Siewart,Siewart,Rachel,1,swa,WA,Western Australia,senate
GRN,Australian Greens,Robert Simms,Simms,Robert,1,ssa,SA,South Australia,senate
LIB,Liberal,Luke Simpkins,Simpkins,Luke,1,cowa,WA,Cowan,house
PIR,Pirate Party Australia,Lachlan Simpson,Simpson,Lachlan,0,svic,VIC,Victoria,senate
IND,Independent,Christine Sindt,Sindt,Christine,0,gipp,VIC,Gippsland,house
ALP,Australian Labor Party,Dilawar Singh,Singh,Dilawar,0,swa,WA,Western Australia,senate
ALP,Australian Labor Party,Lisa Singh,Singh,Lisa,1,stas,TAS,Tasmania,senate
SEP,Socialist Equality Party,Chris Sinnema,Sinnema,Chris,0,svic,VIC,Victoria,senate
LIB,Liberal Party of Australia,Arthur Sinodinos,Sinodinos,Arthur,1,snsw,NSW,New South Wales,senate
GRN,Greens,Delanie Sky,Sky,Delanie,0,cala,NSW,Calare,house
IND,Independent,Ross Slater,Slater,Ross,0,forr,WA,Forrest,house
NXT,Nick Xenophon Team,Michael Slattery,Slattery,Michael,0,pade,SA,Port Adelaide,house
SCP,Science Party,Eve Slavich,Slavich,Eve,0,snsw,NSW,New South Wales,senate
ALP,Labor Party,Allistair Smith,Smith,Allistair,0,wrig,QLD,Wright,house
CDP,Christian Democratic Party,Beth Smith,Smith,Beth,0,cook,NSW,Cook,house
21CP,21st Century Party,Daniel Smith,Smith,Daniel,0,gilm,NSW,Gilmore,house
ALP,Australian Labor Party,David Smith,Smith,David,0,sact,ACT,A.C.T.,senate
LIB,Liberal Party of Australia,Dean Smith,Smith,Dean,1,swa,WA,Western Australia,senate
ALA,Australian Liberty Alliance,Kirralie Smith,Smith,Kirralie,0,snsw,NSW,New South Wales,senate
AJP,Animal Justice Party,Miranda Smith,Smith,Miranda,0,melb,VIC,Melbourne,house
ONP,Pauline Hanson's One Nation,Neil Smith,Smith,Neil,0,rich,NSW,Richmond,house
GRN,Greens,Phil Smith,Smith,Phil,0,hugh,NSW,Hughes,house
ONP,Pauline Hanson's One Nation,Rod Smith,Smith,Rod,0,wrig,QLD,Wright,house
LIB,Liberal,Tony Smith,Smith,Tony,1,case,VIC,Casey,house
FFP,Family First Party,Will Smith,Smith,Will,0,long,QLD,Longman,house
AJP,Animal Justice Party,Rob Smyth,Smyth,Rob,0,mpor,VIC,Melbourne Ports,house
GRN,Greens,Keiran Snape,Snape,Keiran,0,maki,SA,Makin,house
MAP,Mature Australia Party,Terry Snell,Snell,Terry,0,sqld,QLD,Queensland,senate
ALP,Australian Labor Party (Northern Territory) Branch,Warren Snowdon,Snowdon,Warren,1,ling,NT,Lingiari,house
NXT,Nick Xenophon Team,Des Soares,Soares,Des,0,more,QLD,Moreton,house
CDP,Christian Democratic Party,Wayne Solomon,Solomon,Wayne,0,sqld,QLD,Queensland,senate
ALP,Labor Party,Tammy Solonec,Solonec,Tammy,0,swan,WA,Swan,house
LIB,Liberal Party,George Souris,Souris,George,0,batm,VIC,Batman,house
GRN,The Greens,Daniel Sova,Sova,Daniel,0,lalo,VIC,Lalor,house
GRN,Greens,Sally Spain,Spain,Sally,0,ford,QLD,Forde,house
ALA,Australian Liberty Alliance,Shaun Spain,Spain,Shaun,0,ford,QLD,Forde,house
FLX,Flux.org,Nathan Spataro,Spataro,Nathan,0,snsw,NSW,New South Wales,senate
LIB,Liberal Party,Garry Spencer,Spencer,Garry,0,isaa,VIC,Isaacs,house
LDP,Liberal Democrats,Duncan Spender,Spender,Duncan,0,svic,VIC,Victoria,senate
AUC,Australian Christian Party,Warnar Spyker,Spyker,Warnar,0,burt,WA,Burt,house
NXT,Nick Xenophon Team,James Stacey,Stacey,James,0,bark,SA,Barker,house
ALP,Australian Labor Party,Anne Stanley,Stanley,Anne,0,werr,NSW,Werriwa,house
ALP,Labor Party,Lucy Stanton,Stanton,Lucy,0,wbay,QLD,Wide Bay,house
GRN,Australian Greens,Jordan Steele-John,Steele-John,Jordan,0,swa,WA,Western Australia,senate
ALP,Australian Labor Party,Diedree Steinwall,Steinwall,Diedree,0,hugh,NSW,Hughes,house
ALP,Australian Labor Party,Glenn Sterle,Sterle,Glenn,1,swa,WA,Western Australia,senate
DHJ,Derryn Hinch's Justice Party,Ken Stevens,Stevens,Ken,0,snsw,NSW,New South Wales,senate
ALP,Australian Labor Party,Kate Stewart,Stewart,Kate,0,park,NSW,Parkes,house
CM,Country Minded,Sherrill Stivano,Stivano,Sherrill,0,sqld,QLD,Queensland,senate
LIB,Liberal Party,Melanie Stockman,Stockman,Melanie,0,scul,VIC,Scullin,house
CDP,Christian Democratic Party,Robert Stoddart,Stoddart,Robert,0,robe,NSW,Robertson,house
AJP,Animal Justice Party,Lynda Stoner,Stoner,Lynda,0,snsw,NSW,New South Wales,senate
NXT,Nick Xenophon Team,Tim Storer,Storer,Tim,0,ssa,SA,South Australia,senate
CDP,Christian Democratic Party,Richard Stretton,Stretton,Richard,0,hunt,NSW,Hunter,house
CEC,Citizens Electoral Council,Judy Sudholz,Sudholz,Judy,0,swa,WA,Western Australia,senate
LIB,Liberal,Ann Sudmalis,Sudmalis,Ann,1,gilm,NSW,Gilmore,house
LIB,Liberal,Michael Sukkar,Sukkar,Michael,1,deak,VIC,Deakin,house
REP,Renewable Energy Party,Camilla Sundbladh,Sundbladh,Camilla,0,swa,WA,Western Australia,senate
CDP,Christian Democratic Party,Sonny Susilo,Susilo,Sonny,0,bart,NSW,Barton,house
