partyCode,partyName,name,familyName,givenName,sitting,electorateCode,electorateState,electorateName,electorateChamber
GRN,The Greens,Steph Hodgins-May,Hodgins-May,Steph,0,mpor,VIC,Melbourne Ports,house
ADVP,Australian Defence Veterans Party,Darryl Hodkinson,Hodkinson,Darryl,0,sqld,QLD,Queensland,senate
NAT,The Nationals,Kevin Hogan,Hogan,Kevin,1,page,NSW,Page,house
GRN,The Greens,Willisa Hogarth,Hogarth,Willisa,0,flin,VIC,Flinders,house
GRN,Greens,Robyn Holtham,Holtham,Robyn,0,king,SA,Kingston,house
GRN,Greens,Katherine Hompes,Hompes,Katherine,0,mara,QLD,Maranoa,house
ALP,Australian Labor Party,Pat Honan,Honan,Pat,0,snt,NT,Northern Territory,senate
LIB,Liberal Party,Kevin Hong,Hong,Kevin,0,will,VIC,Wills,house
ASXP,Australian Sex Party,Ange Hopkins,Hopkins,Ange,0,higg,VIC,Higgins,house
21CP,21st Century Australia,Jonathan Horne,Horne,Jonathan,0,svic,VIC,Victoria,senate
AUC,Australian Christian Party,Kevin Host,Host,Kevin,0,stir,WA,Stirling,house
AUC,Australian Christian Party,Rex Host,Host,Rex,0,cowa,WA,Cowan,house
NXT,Nick Xenophon Team,Michelle Hoult,Hoult,Michelle,0,stas,TAS,Tasmania,senate
LIB,Liberal Party,Karen Howard,Howard,Karen,0,pate,NSW,Paterson,house
LNP,Liberal National Party of Queensland,Luke Howarth,Howarth,Luke,1,petr,QLD,Petrie,house
ALP,Labor Party,Sharryn Howes,Howes,Sharryn,0,leic,QLD,Leichhardt,house
ALP,Australian Labor Party,Lyndal Howison,Howison,Lyndal,0,benn,NSW,Bennelong,house
LIB,Liberal Party,George Hua,Hua,George,0,hoth,VIC,Hotham,house
ALP,Australian Labor Party,Evan Hughes,Hughes,Evan,0,went,NSW,Wentworth,house
LIB,Liberal Party of Australia,Hollie Hughes,Hughes,Hollie,0,snsw,NSW,New South Wales,senate
AJP,Animal Justice Party,Anthony Hulbert,Hulbert,Anthony,0,menz,VIC,Menzies,house
LIB,Liberal Party of Australia,Jane Hume,Hume,Jane,0,svic,VIC,Victoria,senate
LDP,Liberal Democratic Party,John Humphreys,Humphreys,John,0,bris,QLD,Brisbane,house
LIB,Liberal,Greg Hunt,Hunt,Greg,1,flin,VIC,Flinders,house
GRN,Greens,Nathan Hunt,Hunt,Nathan,0,cook,NSW,Cook,house
GRN,Greens,Tom Hunt,Hunt,Tom,0,whit,NSW,Whitlam,house
IND,Independent,Daniel Huppert,Huppert,Daniel,0,asto,VIC,Aston,house
ASXP,Australian Sex Party,James Hurley,Hurley,James,0,swa,WA,Western Australia,senate
AJP,Animal Justice Party,Emma Hurst,Hurst,Emma,0,gray,NSW,Grayndler,house
ALP,Labor Party,Emma Husar,Husar,Emma,0,lind,NSW,Lindsay,house
ALP,Labor,Ed Husic,Husic,Ed,1,chif,NSW,Chifley,house
LIB,Liberal,Eric Hutchinson,Hutchinson,Eric,1,lyon,TAS,Lyons,house
FFP,Family First Party,Ray Hutchinson,Hutchinson,Ray,0,dick,QLD,Dickson,house
ONP,Pauline Hanson's One Nation,Damian Huxham,Huxham,Damian,0,hink,QLD,Hinkler,house
GRN,Greens,Patrick Hyslop,Hyslop,Patrick,0,hasl,WA,Hasluck,house
CDP,Christian Democratic Party,Mark Imisides,Imisides,Mark,0,swa,WA,Western Australia,senate
LIB,Liberal Party of Australia,Sheridan Ingram,Ingram,Sheridan,0,swa,WA,Western Australia,senate
NXT,Nick Xenophon Team,Richard Inwood,Inwood,Richard,0,wake,SA,Wakefield,house
SAL,Socialist Alliance,Farida Iqbal,Iqbal,Farida,0,swa,WA,Western Australia,senate
